Sentiment,tweet_tokens_stemmed
positive,undang shanijkt hitamputih menang ssk jkt mjkt layak undang prestasi
positive,selamat buka puasa moga amal ibadah terima allah
positive,trans hitam putih harga norwegia
positive,selamat hitamputih
positive,asiknya nonton hitam putih trans
positive,acara komplit tarik hitam putih
positive,hitam putih inspiratif banget
positive,suka banget acara hitam putih
positive,keren
positive,liat hitam putih trans sanggu ganteng
positive,cinta ikat silaturahmi hati
positive,terima kasih bantu sekolah adik
positive,moga lancar hitamputihtrans
positive,trans hitam putih baik
positive,acara hitam putih bagus
positive,undang rafly acara hitam putih yadia jebol dangdut academi pinter nyanyi lagu india suara keren
positive,bagus rancang trans hitamputih dakwah hibur terima kasih ustadz wijayanto
positive,rihanna bintang tamu hitam putih trans kangen tayang
positive,terimakasih tonton hitam putih malam moga inspirasi ajar sobat
positive,acara hitam putih trans topik bagus pribadi ganda
positive,nonton kisah anastasya wella seru kisah pribadi beda
positive,rindu
positive,wihh hebat kakek nenek
positive,tunggu sekian nongol hitam putih trans
positive,hitam putih
positive,spensa poso hitam putih trans asli keren pake kemeja biru putih gingsul
positive,wahh vocalgrup thanks
positive,slalu nonton hitam putih trans hbs acara bagus banget dedy
positive,acara hitam putih trans malam bahas mantab tuju banyak ulas
positive,seru nonton hitam putih nonton spot
positive,trio unyu acara master dedy thanks
positive,usaha jujur kerja jujur
positive,keren undang acara hitamputih acara presiden trans
positive,suka banget episode hitam putih malam trans
positive,kangen jeket bintang tamu hitam putih trans seru pas jaman gen undang hitam putih
positive,terima kasih saksi hitam putih moga inspirasi hibur
positive,hitam putih undang
positive,inspirasi inspirasi
positive,seru hitam putih trans live
positive,syukur hidup indonesia
positive,tuju banget ucap deddy corbuzier hitam putih trans guru tanda jasa naik gaji
positive,selamat siang selamat aktivitas tunggu hitam putih chaenel sayang trans
positive,vermansah keren
positive,nonton trans hitam putih keren abis jesika cantik dedy ganteng
positive,acara hitam putih oke
positive,tweeps rapat sebentar hitam putih live
positive,tweeps terima kasih saksi hitam putih besok live
positive,emang keren tamu
positive,subhanallah anak karunia banding trans hitamputih
positive,kes dengar salah maju hitam putih moga sukses slalu
negative,hitam putih bego haruka undang bentar liat younglex hina bego
negative,miris liat perintah juara angkat berat seasia biaya ikut kejurnas
negative,juara angkat berat seasia terima hadiah kejurnas kendala biaya
negative,haruka undang hitam putih tolak hostnya harga
negative,asa aneh nonton acara hitam putih tonton anak sekolah sekolah gua
negative,sedih dengar curhatanmu roxana moga tuhan tunjuk jalan titik terang roxana
negative,miris anak indonesia sulit bahasa indonesa nyaman bahasa asing
negative,sombong mentang kaya pake umum host kaya hitam putih trans
negative,parah banget hitam putih trans ngomong sembarang rusak generasi muda acara kyk gin
negative,bangkrut perkara uang bangkrut mimpi bangqomar
negative,takut powernya oma martha
negative,hasil sesuai hendak demo demo sila arti paksa hendak
negative,mulut farhat abas anjay bener
negative,episode muncul nonton hitam putih
negative,yaampun anak nonton
negative,anak butuh aku ayah
negative,mario teguh campak anak
negative,tuna netra bagi pegang jabat korupsi
negative,garing banget
negative,nyanyi anaktapi lagu sakit malu
negative,ngatain knp ditindes
negative,bos kau cowo salah bentak abis cewe diajakin becanda ketawa
negative,suara veteran koruptor hukum mati
negative,berita nyebar
negative,buta dalem ruang pake kacamata hitam
negative,dunia haru pergi mbak jupe trans
negative,nasib atlet ri
negative,knp sahabat lupa sahabat temu teman baru
negative,baby tatan nang ngeliat daddy
negative,angkat topi tunduk kepala mbah simpen
negative,toleransi umat agama terap serang banten toleransi mitos
negative,suara veteran koruptor hukum mati
negative,duka anak buk
negative,harap
negative,buruk kau pergi
negative,sodok ajah bu
negative,butuh tegas masyarakat perintah butuh tindak ngoceh medsos
negative,hidup dijalanin dipikirin
negative,pimpin pribadi korban
negative,hidup dijalanin dipikirin mongol stres
negative,demo nyelesaikan bermusyawara ajha
negative,bayang konvensional online mana usaha bayar orang kalah
negative,taksi konvensional pepet taksi nunggu online
negative,kaya gin negara inti tuju usaha kaya gin
negative,gadget mahal nipu argonya argo kuda aman pake konvensional
