,Sentiment,Text Tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_tokens_stemmed
0,positive,undang shanijkt ke hitamputih pemenang ssk jkt harusnya mjkt ini lebih layak di undang karena prestasinya,"['undang', 'shanijkt', 'ke', 'hitamputih', 'pemenang', 'ssk', 'jkt', 'harusnya', 'mjkt', 'ini', 'lebih', 'layak', 'di', 'undang', 'karena', 'prestasinya']",<FreqDist with 15 samples and 16 outcomes>,"['undang', 'shanijkt', 'hitamputih', 'pemenang', 'ssk', 'jkt', 'mjkt', 'layak', 'undang', 'prestasinya']","['undang', 'shanijkt', 'hitamputih', 'pemenang', 'ssk', 'jkt', 'mjkt', 'layak', 'undang', 'prestasinya']"
1,positive,selamat berbuka puasa semoga amal ibadah hari ni diterima allah,"['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'hari', 'ni', 'diterima', 'allah']",<FreqDist with 10 samples and 10 outcomes>,"['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'diterima', 'allah']","['selamat', 'berbuka', 'puasa', 'semoga', 'amal', 'ibadah', 'diterima', 'allah']"
2,positive,ada nih di trans hitam putih dia dpt penghargaan juga di norwegia,"['ada', 'nih', 'di', 'trans', 'hitam', 'putih', 'dia', 'dpt', 'penghargaan', 'juga', 'di', 'norwegia']",<FreqDist with 11 samples and 12 outcomes>,"['trans', 'hitam', 'putih', 'penghargaan', 'norwegia']","['trans', 'hitam', 'putih', 'penghargaan', 'norwegia']"
3,positive,selamat ya mas masuk hitamputih,"['selamat', 'ya', 'mas', 'masuk', 'hitamputih']",<FreqDist with 5 samples and 5 outcomes>,"['selamat', 'hitamputih']","['selamat', 'hitamputih']"
4,positive,asiknya nonton hitam putih trans,"['asiknya', 'nonton', 'hitam', 'putih', 'trans']",<FreqDist with 5 samples and 5 outcomes>,"['asiknya', 'nonton', 'hitam', 'putih', 'trans']","['asiknya', 'nonton', 'hitam', 'putih', 'trans']"
5,positive,acara paling komplit dan menarik apalagi ada hitam putih,"['acara', 'paling', 'komplit', 'dan', 'menarik', 'apalagi', 'ada', 'hitam', 'putih']",<FreqDist with 9 samples and 9 outcomes>,"['acara', 'komplit', 'menarik', 'hitam', 'putih']","['acara', 'komplit', 'menarik', 'hitam', 'putih']"
6,positive,hitam putih  inspiratif banget,"['hitam', 'putih', 'inspiratif', 'banget']",<FreqDist with 4 samples and 4 outcomes>,"['hitam', 'putih', 'inspiratif', 'banget']","['hitam', 'putih', 'inspiratif', 'banget']"
7,positive,suka banget dengan acara hitam putih,"['suka', 'banget', 'dengan', 'acara', 'hitam', 'putih']",<FreqDist with 6 samples and 6 outcomes>,"['suka', 'banget', 'acara', 'hitam', 'putih']","['suka', 'banget', 'acara', 'hitam', 'putih']"
8,positive,keren lu bro,"['keren', 'lu', 'bro']",<FreqDist with 3 samples and 3 outcomes>,['keren'],['keren']
9,positive,tadi ada yg liat hitam putih di trans ga ada sanggu ganteng,"['tadi', 'ada', 'yg', 'liat', 'hitam', 'putih', 'di', 'trans', 'ga', 'ada', 'sanggu', 'ganteng']",<FreqDist with 11 samples and 12 outcomes>,"['liat', 'hitam', 'putih', 'trans', 'sanggu', 'ganteng']","['liat', 'hitam', 'putih', 'trans', 'sanggu', 'ganteng']"
10,positive,cinta mengikat silaturahmi di hati,"['cinta', 'mengikat', 'silaturahmi', 'di', 'hati']",<FreqDist with 5 samples and 5 outcomes>,"['cinta', 'mengikat', 'silaturahmi', 'hati']","['cinta', 'mengikat', 'silaturahmi', 'hati']"
11,positive,terima kasih pak sudah mau membantu kami untuk menyekolahkan adik saya,"['terima', 'kasih', 'pak', 'sudah', 'mau', 'membantu', 'kami', 'untuk', 'menyekolahkan', 'adik', 'saya']",<FreqDist with 11 samples and 11 outcomes>,"['terima', 'kasih', 'membantu', 'menyekolahkan', 'adik']","['terima', 'kasih', 'membantu', 'menyekolahkan', 'adik']"
12,positive,semoga lancar hitamputihtrans,"['semoga', 'lancar', 'hitamputihtrans']",<FreqDist with 3 samples and 3 outcomes>,"['semoga', 'lancar', 'hitamputihtrans']","['semoga', 'lancar', 'hitamputihtrans']"
