Sentiment,tweet_tokens_stemmed
negative,"['akun', 'kloning', 'pendukung', 'menyerang', 'paslon', 'opini', 'argumen', 'pmbenaranjangan', 'terkecoh']"
negative,"['bicara', 'kasihan', 'yaalap', 'air', 'matanya', 'wkwkwkwk']"
negative,"['nunggu', 'hasil', 'qc', 'nunggu', 'motif', 'cuitan', 'pasca', 'nyungsep']"
negative,"['kasian', 'kasian', 'peluru', 'milyar', 'rw', 'mempan', 'menangin', 'pilkada']"
negative,"['maaf', 'pendukung', 'dukung', 'diputaran']"
negative,"['aneh', 'lebay', 'pautkan', 'kandidat', 'calgub', 'lebay', 'dukung']"
negative,"['allah', 'swt', 'ucapkan', 'syukur', 'terimakasih', 'makna', 'suara']"
negative,"['terima', 'kasih', 'teruntuk', 'pendukung', 'kalianlah', 'pembeda']"
negative,"['trima', 'kasih', 'keistiqomahan', 'relawan', 'tlh', 'mengantarkan', 'signifikan']"
negative,"['mengenang', 'pidato', 'kekalahan']"
negative,"['dammnn', 'politik', 'cantik', 'ngorbanin']"
negative,"['batal', 'nyoblos', 'kertas', 'suara']"
negative,"['ngakak', 'survey', 'mu', 'panggang', 'api']"
negative,"['kemarin', 'april', 'suaraku', 'paslon']"
negative,"['karna', 'belebihan']"
negative,"['kemana', 'lepas', 'kalah', 'tutup', 'mulut', 'koar', 'bongkar', 'sby']"
negative,"['pencatutan', 'nama', 'mpo', 'melanggar', 'hukum', 'wkwkwkwkkwkk']"
negative,"['suka', 'ahok', 'pas', 'kalah', 'otomatis', 'dukungannya', 'lari', 'aniessandi']"
negative,"['banteng', 'garuda', 'ksatria', 'bpk', 'gentle', 'cinta']"
negative,"['gara', 'ektp', 'dikorupsi', 'fotoku', 'pelan', 'skrang', 'stickmoticons']"
negative,"['double', 'lol', 'nuduh', 'miskin', 'ide', 'copy']"
negative,"['kemana', 'antasari', 'kalah', 'melempem', 'benerbener', 'akting']"
negative,"['modal', 'omongan']"
negative,"['pakdhe', 'karwo', 'pilgub', 'jatim', 'dhe', 'karwo', 'isyaratkan', 'agus', 'maju', 'pilgub', 'jatim']"
negative,"['paslon', 'salah', 'langkah', 'sandi', 'bumerang', 'gagal', 'suara']"
negative,"['relawan', 'gembosi']"
